Sentence,Entities,Document_ID,Entity_Texts,SentenceWithContext,matched_entities
Both the labor force participation rate and the employment-to- population ratio declined a little over the past two months.,"(('Employment', -0.33), ('Labor Market', -0.34), ('Economy', -0.15))",fomcminutes20221214.pdf,"['Employment', 'Labor Market', 'Economy']","On balance, the unemployment rate for Af- rican Americans edged down over those two months, while the unemployment rate for Hispanics increased slightly; the unemployment rates for both groups re- mained above the national measure. Both the labor force participation rate and the employment-to- population ratio declined a little over the past two months. The private-sector job openings rate, as meas- ured by the Job Openings and Labor Turnover Survey, moved back down in October but remained high.",['Unemployment']
"So there isn’t a— you know, there’s not a dollar amount or a percent of GDP or anything like that where we think we have a really pretty clear understanding of that.","(('GDP', 0),)",FOMCpresconf20240320.pdf,['GDP'],"Are they—right now, we would characterize them as “abundant,” and what we’re aiming for is “ample” and, you know, which is a little bit less than abundant. So there isn’t a— you know, there’s not a dollar amount or a percent of GDP or anything like that where we think we have a really pretty clear understanding of that. We’re going to be looking at what these— what’s happening in money markets, in particular—a bunch of different indicators, including the ones I mentioned, to tell us when we’re getting close.","['GDP', 'Money Market', 'Financial Markets', 'Economic outlook', 'Personal Consumption Expenditures (PCE)', 'Monetary Policy']"
"riod against the backdrop of progress on COVID-19 vaccinations, signs of stronger domestic spending, and additional fiscal stimulus.",,fomcminutes20210317.pdf,[],"Staff Review of the Financial Situation Investors appeared to have become more optimistic about the economic outlook over the intermeeting pe- riod against the backdrop of progress on COVID-19 vaccinations, signs of stronger domestic spending, and additional fiscal stimulus. The nominal Treasury yield curve steepened markedly, largely because of increases in longer-term real yields, although measures of inflation compensation also increased further.","['Expectation', 'Economic outlook', 'Inflation', 'US dollar Appreciation', 'Treasury Securities', 'Yields']"
"Unemployment, though, if you look at the projection for the full year of 4.0 percent, in February, we were already at 3.9 percent, so quite close to the median projection.","(('Unemployment', 0.33),)",FOMCpresconf20240320.pdf,['Unemployment'],"Obviously, inflation is some ways away from target. Unemployment, though, if you look at the projection for the full year of 4.0 percent, in February, we were already at 3.9 percent, so quite close to the median projection. Are you concerned at all that—notwithstanding the very strong jobs growth—that in fact there may be some cracks appearing in the employment market?","['Inflation', 'Price Stability', 'maximum employment', 'Monetary Policy', 'Transitory', 'Unemployment', 'maximum employment', 'HIRE', 'Labor Market', 'Unemployment', 'Employment']"
Page 10 of 24 would get more confidence at the end of this year.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],"[that] you March 20, 2024 Chair Powell’s Press Conference FINAL Page 10 of 24 would get more confidence at the end of this year. Is it right to say that this suggests you’re not seeing a lot of disinflation this year compared to what we’ve seen 2023 and so forth?","['Chair', 'Powell']"
"Foreign financial conditions broadly eased over the in- termeeting period, largely driven by lower-than-expected U.S. inflation data.","(('Financial Markets', 0.65), ('Inflation', 0.65), ('Economy', 0.65), ('Countries', 0.0))",fomcminutes20221214.pdf,"['Financial Markets', 'Inflation', 'Economy', 'Countries']","Net yields on money market funds rose further over the intermeeting period, mostly passing through the increase in adminis- tered rates, while bank deposit rates increased only slightly in October and November. Foreign financial conditions broadly eased over the in- termeeting period, largely driven by lower-than-expected U.S. inflation data. The foreign exchange value of the dollar depreciated against most foreign currencies, par- ticularly against those of advanced foreign economies, in part reflecting a narrowing of near-term yield differen- tials between the United States and other advanced economies.","['Yields', 'Federal Funds Rate', 'Interest Rates', 'Federal Funds Target', 'Money Market', 'Price Stability', 'US dollar Depreciation', 'Foreign Currencies', 'US dollar Appreciation', 'GDP', 'Yields', 'US dollar Appreciation', 'Development']"
"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities.","(('Federal Reserve', 0.468),)",monetary20240731a1.pdf,['Federal Reserve'],"The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. The Committee is strongly committed to returning inflation to its 2 percent objective.","['Federal Funds Target', 'Mortgage-Backed Securities', 'Treasury Securities', 'Federal Open Market Committee(FOMC)', 'Securities', 'Security holdings', 'Federal Open Market Committee(FOMC)', 'Price Stability', 'Inflation', 'Dual Mandate']"
More information regarding open market operations and reinvestments may be found on the Federal Reserve Bank of New York’s website.,"(('Federal Reserve', 0.922),)",monetary20211103a1.pdf,['Federal Reserve'],"This information will be updated as appropriate to reflect decisions of the Federal Open Market Committee or the Board of Governors regarding details of the Federal Reserve’s operational tools and approach used to implement monetary policy. More information regarding open market operations and reinvestments may be found on the Federal Reserve Bank of New York’s website. For release at 2:00 p.m. EDT July 31, 2024 Recent indicators suggest that economic activity has continued to expand at a solid pace.","['domestic policy directive', 'Federal Reserve', 'Board', 'Federal Open Market Committee(FOMC)', 'Monetary Policy', 'Federal Open Market Committee(FOMC)', 'Federal Reserve', 'Equity Markets', 'Financial Markets', 'Reinvestment', 'Development', 'Economic outlook', 'Growth']"
"We’ve got nine months of 2½ percent inflation now, and we’ve had two months of kind of bumpy inflation.","(('Inflation', 0.111),)",FOMCpresconf20240320.pdf,['Inflation'],"I think that’s what you still see. We’ve got nine months of 2½ percent inflation now, and we’ve had two months of kind of bumpy inflation. We were saying that we’ll—it’s going to be a bumpy ride.",['Inflation']
"Hi, Chris Rugaber, the Associated Press.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"Again, I don’t—there’s nothing in the data pointing at that, but those are the things that we’ll be looking at, at coming meetings and—without trying to refer to any specific meeting. Hi, Chris Rugaber, the Associated Press. Thank you.",['Press Conference']
"In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 4-1/4 to 4-1/2 percent.","(('Federal Reserve', 0.684),)",monetary20250507a1.pdf,['Federal Reserve'],"The Committee is attentive to the risks to both sides of its dual mandate and judges that the risks of higher unemployment and higher inflation have risen. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 4-1/4 to 4-1/2 percent. In considering the extent and timing of additional adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks.","['Dual Mandate', 'Federal Funds Target', 'Federal Funds Rate', 'Federal Open Market Committee(FOMC)', 'Dual Mandate', 'Federal Funds Target', 'Federal Open Market Committee(FOMC)', 'Federal Funds Rate', 'domestic policy directive', 'Powell']"
"We’re trying to do that in a way that sustains the strong growth we’re seeing, the strong labor market we’re seeing, but allows us to make further progress with inflation.","(('Inflation', -0.719),)",FOMCpresconf20240320.pdf,['Inflation'],"In this case, I would say, those are, you know—our mandate is for maximum employment and price stability and the other things that we do, and that’s what we’re trying to accomplish. We’re trying to do that in a way that sustains the strong growth we’re seeing, the strong labor market we’re seeing, but allows us to make further progress with inflation. That’s how we can best serve the public and leave the other issues, which in many cases are incredibly important, such as those you mentioned, leave those to the people who have responsibility for those.","['Dual Mandate', 'Demand', 'maximum employment', 'Cyclically Sensitive Sectors', 'Labor Market', 'maximum employment', 'Dual Mandate', 'Price Stability', 'Inflation', 'Monetary Policy']"
