Sentence,Entities,Document_ID,Entity_Texts,matched_entities
Both the labor force participation rate and the employment-to- population ratio declined a little over the past two months.,"(('Employment', -0.33), ('Labor Market', -0.34), ('Economy', -0.15))",fomcminutes20221214.pdf,"['Employment', 'Labor Market', 'Economy']",[]
"So there isn’t a— you know, there’s not a dollar amount or a percent of GDP or anything like that where we think we have a really pretty clear understanding of that.","(('GDP', 0),)",FOMCpresconf20240320.pdf,['GDP'],['GDP']
"riod against the backdrop of progress on COVID-19 vaccinations, signs of stronger domestic spending, and additional fiscal stimulus.",,fomcminutes20210317.pdf,[],['Fiscal Policy']
"Unemployment, though, if you look at the projection for the full year of 4.0 percent, in February, we were already at 3.9 percent, so quite close to the median projection.","(('Unemployment', 0.33),)",FOMCpresconf20240320.pdf,['Unemployment'],['Unemployment']
Page 10 of 24 would get more confidence at the end of this year.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"Foreign financial conditions broadly eased over the in- termeeting period, largely driven by lower-than-expected U.S. inflation data.","(('Financial Markets', 0.65), ('Inflation', 0.65), ('Economy', 0.65), ('Countries', 0.0))",fomcminutes20221214.pdf,"['Financial Markets', 'Inflation', 'Economy', 'Countries']",['Price Stability']
"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities.","(('Federal Reserve', 0.468),)",monetary20240731a1.pdf,['Federal Reserve'],"['Mortgage-Backed Securities', 'Treasury Securities', 'Federal Open Market Committee(FOMC)', 'Securities', 'Security holdings']"
More information regarding open market operations and reinvestments may be found on the Federal Reserve Bank of New York’s website.,"(('Federal Reserve', 0.922),)",monetary20211103a1.pdf,['Federal Reserve'],"['Federal Open Market Committee(FOMC)', 'Federal Reserve', 'Equity Markets', 'Financial Markets', 'Reinvestment']"
"We’ve got nine months of 2½ percent inflation now, and we’ve had two months of kind of bumpy inflation.","(('Inflation', 0.111),)",FOMCpresconf20240320.pdf,['Inflation'],['Inflation']
"Hi, Chris Rugaber, the Associated Press.","(('', ''),)",FOMCpresconf20240320.pdf,[''],['Press Conference']
"In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 4-1/4 to 4-1/2 percent.","(('Federal Reserve', 0.684),)",monetary20250507a1.pdf,['Federal Reserve'],"['Federal Funds Target', 'Federal Funds Rate', 'Federal Open Market Committee(FOMC)', 'Dual Mandate']"
